matchNumber,date,kickoffUtc,stage,group,homeTeam,awayTeam,stadium,hostCity,matchUrl,homeScore,awayScore,status,totalGoals,load_date
25,2026-06-18,2026-06-18T16:00:00Z,group-stage,A,Czechia,South Africa,Mercedes-Benz Stadium,atlanta,https://www.thestatsapi.com/world-cup/matches/czechia-vs-south-africa-2026-06-18,,,pendiente,0,2026-06-19 15:30:40
26,2026-06-18,2026-06-18T19:00:00Z,group-stage,B,Switzerland,Bosnia and Herzegovina,SoFi Stadium,los-angeles,https://www.thestatsapi.com/world-cup/matches/switzerland-vs-bosnia-and-herzegovina-2026-06-18,,,pendiente,0,2026-06-19 15:30:40
27,2026-06-18,2026-06-18T22:00:00Z,group-stage,B,Canada,Qatar,BC Place,vancouver,https://www.thestatsapi.com/world-cup/matches/canada-vs-qatar-2026-06-18,6,0,final,6,2026-06-19 15:30:40
28,2026-06-18,2026-06-19T01:00:00Z,group-stage,A,Mexico,Korea Republic,Estadio Akron,guadalajara,https://www.thestatsapi.com/world-cup/matches/mexico-vs-korea-republic-2026-06-18,,,pendiente,0,2026-06-19 15:30:40
